id;jhi_type;content;content_content_type;sort_index
1;IMAGE;../fake-data/blob/hipster.png;image/png;16808
2;IMAGE;../fake-data/blob/hipster.png;image/png;28850
3;IMAGE;../fake-data/blob/hipster.png;image/png;26311
4;IMAGE;../fake-data/blob/hipster.png;image/png;19877
5;IMAGE;../fake-data/blob/hipster.png;image/png;8487
6;URL;../fake-data/blob/hipster.png;image/png;15004
7;URL;../fake-data/blob/hipster.png;image/png;25910
8;IMAGE;../fake-data/blob/hipster.png;image/png;1760
9;URL;../fake-data/blob/hipster.png;image/png;9383
10;URL;../fake-data/blob/hipster.png;image/png;1723
