id;title;authors;menu;menu_weight;publish_date;published_by;status;approved_by;approved_date;jumbotron_alt_text;jhi_body
1;finally;gem decimal acupuncture;suffocate round connotation;careen rowdy save;2024-06-20T18:19:02;to against ha;DRAFT;or hunker argue;2024-06-20T23:34:26;bulge fairly;../fake-data/blob/hipster.txt
2;cast alienated;patrol;hence embellished pal;gah playfully;2024-06-20T10:17:05;kiddingly;READY;forbid athwart;2024-06-21T09:51:52;nor afterwards bronze;../fake-data/blob/hipster.txt
3;salt;ugh throughout as;mostly through disengage;psst;2024-06-21T09:01:17;fooey;PUBLISHED;grimace;2024-06-20T20:33:34;swot;../fake-data/blob/hipster.txt
4;softly;boohoo aw;belt flimsy officially;agony;2024-06-21T08:11:00;ad as;DRAFT;subtend;2024-06-20T11:35:39;despite bottom aw;../fake-data/blob/hipster.txt
5;wakeboard ew;behind;deposit;psst;2024-06-20T13:37:46;ski;IN_REVIEW;stained;2024-06-20T14:27:00;wherever underneath;../fake-data/blob/hipster.txt
6;apud ugly;yahoo ew;linear psst geez;metallic brave honeymoon;2024-06-20T23:20:33;hm settler unfinished;PUBLISHED;beyond frantically how;2024-06-21T03:35:34;underneath;../fake-data/blob/hipster.txt
7;zowie director;quick inquisitively;glorious crossly kissingly;for;2024-06-20T10:56:39;lark thud;READY;wisdom greedy;2024-06-21T09:38:49;daily what pry;../fake-data/blob/hipster.txt
8;gee before;thankfully;eek lest leafy;caliber boohoo;2024-06-20T14:02:57;nicely;READY;yippee;2024-06-21T09:03:12;prescribe;../fake-data/blob/hipster.txt
9;veranda;joyfully oh;recognize;fund vibrant;2024-06-21T05:33:08;what dizzy mascara;IN_REVIEW;lilac;2024-06-20T21:15:49;until;../fake-data/blob/hipster.txt
10;phew muted prime;nicely;pro;monopoly;2024-06-21T00:02:03;hence;PUBLISHED;advent upward;2024-06-21T08:28:21;er yuck;../fake-data/blob/hipster.txt
