id;title;objective;publish_date;published_by;status;approved_by;approved_date;authors;facilitation_difficulty;mobius_loop_tag;what;why;how;number_of_people_required;time_length;expected_participants
1;wicked faff tendency;now uh-huh boo;2024-06-20T19:23:43;carefree;IN_REVIEW;correlate uselessly joyously;2024-06-21T08:21:04;diagram oddly;EASY;DISCOVERY;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;whoa carol;what um;underwear metallic
2;wrongly woot misjudge;up highlight;2024-06-21T02:16:51;slushy however;PUBLISHED;because about hourly;2024-06-20T13:18:40;boastfully;MODERATE;FOUNDATION;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;hunt;off rush;jack
3;onion cope;winged good on;2024-06-20T22:51:07;until;IN_REVIEW;zowie;2024-06-20T10:39:20;half;EASY;FOUNDATION;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;rainstorm teeming enrage;toward;for
4;freely sizzling;consequently;2024-06-21T05:48:49;rectangle used;PUBLISHED;geek phooey;2024-06-21T01:43:23;pish too unacceptable;EASY;DISCOVERY;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;ah ack;yahoo keen;out er
5;when;saw above;2024-06-20T22:30:58;slowly now;READY;all;2024-06-20T16:46:24;supposing never anenst;MODERATE;DELIVERY;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;stark guarantee incidentally;youngster;reminisce ick
6;ugh;administration sneaky;2024-06-21T06:07:06;now;PUBLISHED;occasion station trap;2024-06-21T01:18:06;phooey;MODERATE;DELIVERY;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;obediently;glistening;till
7;amenity;clear-cut ack reunion;2024-06-20T10:30:25;afterwards;PUBLISHED;wane atop;2024-06-20T10:19:29;orderly;HIGH;DELIVERY;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;phew woot simple;easily;beam subedit after
8;interchange arrange;versus pfft arithmetic;2024-06-20T12:32:41;until;DRAFT;examination after;2024-06-20T14:19:14;fair;MODERATE;FOUNDATION;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;um really;cuddle;apropos geez
9;squeak underwire dabble;fooey bountiful;2024-06-20T17:37:23;merrily as wherever;IN_REVIEW;though;2024-06-20T14:22:44;plus;MODERATE;DELIVERY;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;inasmuch about;cadge aside disillusion;saviour briefly juvenile
10;although displacement;sternly tilt;2024-06-20T13:32:59;phrase where per;PUBLISHED;hmph ouch;2024-06-21T07:20:17;afflict few;MODERATE;FOUNDATION;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;slake;pace;while woot
